wavelength;eye 2;eye 4;eye 5;eye 6;eye 7;eye 8;eye 9;average;stdev
420;;;0,048647307;0,0247692176;0,4996195141;0,4066792509;0,0802876345;0,212;0,200
430;0,3244211833;0,3130217891;0,1297749884;0,0665499682;0,7126657987;0,5752801314;0,4239397648;0,364;0,229
440;0,3836676695;0,4984768219;0,1975890548;0,2293451951;0,778822908;0,5448688937;0,5677120326;0,457;0,201
450;0,5234596423;0,7548143869;0,213038015;0,3532319499;0,8849809398;0,7054593842;0,9126663711;0,621;0,263
460;0,7883248268;0,9999326961;0,5373592344;0,6989232159;0,9223104243;0,9999344589;0,9999763883;0,850;0,179
470;1,0015974359;0,5673645901;0,9001147892;0,9999978469;1,0000725737;0,8850381976;0,9894628038;0,906;0,152
480;0,6043342444;0,6084943007;0,8355758705;0,6488676215;0,6313061863;0,7054593842;0,5803062271;0,659;0,084
490;0,5234596423;0,7112578348;0,9999999792;0,6170841493;0,7088094801;0,7752562836;0,7406126376;0,725;0,119
500;0,6043342444;0,4227699889;0,6653518637;0,3506563914;0,6082155425;0,5448688937;0,3968982597;0,513;0,116
510;0,3244211833;0,2429557188;0,4162183301;0,2140486087;0,5370818879;0,4591198765;0,1971597834;0,342;0,132
520;0,2258776205;0,1442295408;0,3024303594;0,1881266226;0,4621607163;0,335280654;0,0718688412;0,247;0,130
530;0,2258776205;0,0514011249;0,1588338341;0,1627943993;0,3858601026;0,1588573432;0,0345320638;0,168;0,114
540;0,1221291133;0,0275606442;0,0592687192;0,0819792388;0,2840209474;0,0631419653;0,0215778487;0,094;0,089
560;0,0769419527;0,0195024904;0,0194592269;0,0254858662;0,2164251831;0,0413604385;0,0136596131;0,059;0,072
580;0,0463399119;0,0319805273;0,0057925019;0,0129348046;0,1758392388;0,0294735206;0,0112170594;0,045;0,059
600;0,0463399119;0,0078278081;0,0043642258;0,0059056958;0,1381756503;0,0294735206;0,0079947326;0,034;0,048
620;0,0463399119;0,013583981;0,0043642258;0,0093774345;0,1381756503;0,0294735206;0,0079947326;0,036;0,047
640;0,0463399119;0,0239828223;0,0043642258;0,0219428419;0,1381756503;0,0294735206;0,0079947326;0,039;0,046
660;0,0463399119;0,0252337203;0,0043642258;0,0230630962;0,1381756503;0,0294735206;0,0079947326;0,039;0,046
680;0,0463399119;0,0078278081;0,0043642258;0,0991270783;0,1381756503;0,0294735206;0,0079947326;0,048;0,052
